hashtag,link,label
trippy,https://www.tiktok.com/@alexcruz7770/video/7569852673302875405,harmful
garden,https://www.tiktok.com/@joesgarden/video/7531287690113764630,not_harmful
alcohol,https://www.tiktok.com/@epg.szn/video/7563860997472095519,harmful
meditation,https://www.tiktok.com/@thar_usha/video/7545298986765143314,not_harmful
travel,https://www.tiktok.com/@craig.peaks/video/7460774638608452880,not_harmful
darkhumor,https://www.tiktok.com/@dark0708editor/video/7569784993547832597,harmful
reviewphim,https://www.tiktok.com/@reviewdienthoai.hm/video/7511549504307465490,not_harmful
gianghomang,https://www.tiktok.com/@gianghomang50/video/7504124933186882834,harmful
gianghomang,https://www.tiktok.com/@fanriew/video/7569821564397554966,harmful
nhaycam,https://www.tiktok.com/@depxinhnhakhoay/video/7550198435907947784,harmful
nauan,https://www.tiktok.com/@tranthuan.official/video/7552484723130502418,not_harmful
game,https://www.tiktok.com/@barbagame/video/7518412482419952952,not_harmful
mê_tín_dị_đoan,https://www.tiktok.com/@serah990827/video/7545407906452131092,harmful
gọi_hồn,https://www.tiktok.com/@nguyenxuyen83bg/video/7446260870788812050,harmful
reviewphim,https://www.tiktok.com/@review.phim.hay8655/video/7498013974659599634,not_harmful
nature,https://www.tiktok.com/@wanders.with.diana/video/7490637595383205122,not_harmful
bay_lắc,https://www.tiktok.com/@karaoketayvin.696/video/7481124937013497106,harmful
đòi_nợ,https://www.tiktok.com/@nguyennam2102/video/7282975295165041922,harmful
ghosthunting,https://www.tiktok.com/@whatdoy0udo/video/7566550376384728322,harmful
gianghomang,https://www.tiktok.com/@buitrunghieu228386/video/7256304430578978090,harmful
vape,https://www.tiktok.com/@alyssa_lesano/video/7485317882285493522,harmful
selfcare,https://www.tiktok.com/@ttshopright/video/7557930036687424798,not_harmful
volunteer,https://www.tiktok.com/@simplyyykatie/video/7558869026689043734,not_harmful
giadinh,https://www.tiktok.com/@nguyenhuongly.official/video/7402086986929982727,not_harmful
cat,https://www.tiktok.com/@lovelyhcats/video/7435661507049950485,not_harmful
darkhumor,https://www.tiktok.com/@memez.you.need_/video/7279071938675330337,harmful
healthy,https://www.tiktok.com/@suckhoelavang_79/video/7547308124802272519,not_harmful
sport,https://www.tiktok.com/@wizz_micha2/video/7511442259896782102,not_harmful
