hashtag,link,label
study,https://www.tiktok.com/@iamphlonggg/video/7567004779445292306,not_harmful
sport,https://www.tiktok.com/@yenam_real/video/7368350041712413960,not_harmful
sport,https://www.tiktok.com/@glamour_zone_g?lang=en,not_harmful
music,https://www.tiktok.com/@david_fdw_,not_harmful
sexy,https://www.tiktok.com/@sexy.by.vietnam/video/7569251286470708488,harmful
nature,https://www.tiktok.com/@l0nelysoul0/video/7524228486022581534,not_harmful
fashion,https://www.tiktok.com/@th12.11_/video/7449248539005308178,not_harmful
music,https://www.tiktok.com/@mgmusick6/video/7530311460770172168,not_harmful
sport,https://www.tiktok.com/@24h.sports/video/7568423817106738453,not_harmful
leak,https://www.tiktok.com/@churinsimpact/video/7556473379671346454,harmful
game,https://www.tiktok.com/@nhat.anh.trang/video/7560194250562931988,not_harmful
scandal,https://www.tiktok.com/@xm_mbell?lang=en,harmful
travel,https://www.tiktok.com/@tripus.i.u?lang=en,not_harmful
travel,https://www.tiktok.com/@nihao.trip/video/7558019030104247570,not_harmful
dog,https://www.tiktok.com/@littlemanyu?lang=en,not_harmful
food,https://www.tiktok.com/@levinhotho/video/7464940236754242838,not_harmful
dance,https://www.tiktok.com/@heybunnie.00?lang=en,harmful
review,https://www.tiktok.com/@giaitritiktok.1/video/7507667244218928402,not_harmful
review,https://www.tiktok.com/@veekreview/video/7565466830555401480,not_harmful
hotgirl,https://www.tiktok.com/@carotkute6/video/7566489385743437063,harmful
music,https://www.tiktok.com/@admusic363/video/7539486354149821716,not_harmful
hotgirl,https://www.tiktok.com/@oishijahanx?lang=en,harmful
dating,https://www.tiktok.com/@therealcourtnextdoor/video/7516956706383940895,harmful
fashion,https://www.tiktok.com/@manorajput.17/video/7547450436488416534,not_harmful
body,https://www.tiktok.com/@cimiw_virgo/video/7536097537493667128,harmful
dance,https://www.tiktok.com/@mily2405?lang=en,harmful
scandal,https://www.tiktok.com/@beanne264/video/7508285404827684104,harmful
review,https://www.tiktok.com/@ln.xn.audio/video/7548846004213206290,not_harmful
